fps,Frame,Marker ID,X Position (m),Y Position (m),Distance from Circle (m),Distance from Previous Point (m),Speed (m/s)
29,0,10,1.2330073,0.08471319999999993,0.0,0.0,0.0
29,1,10,1.2316992,0.0852497000000001,0.0,0.0014138077,0.041000426
29,2,10,1.2315245,0.0847112000000001,0.0,0.00056611793,0.01641742
29,3,10,1.2322463,0.08530330000000008,0.0,0.00093360065,0.027074419
29,4,10,1.2325785,0.08193260000000002,0.0,0.0033870956,0.09822577
29,5,10,1.2312891,0.08267369999999996,0.0,0.00148719,0.04312851
29,6,10,1.2350119,0.08206150000000001,0.0,0.0037727784,0.10941058
29,7,10,1.234289,0.08071099999999998,0.0,0.00153182,0.044422783
29,8,10,1.2344779,0.08243290000000014,0.0,0.0017321819,0.050233275
29,9,10,1.2324383,0.08159700000000014,0.0,0.0022041989,0.063921764
29,10,10,1.2366073,0.08150159999999995,0.0,0.004170078,0.12093226
29,11,10,1.2348038,0.0820278000000001,0.0,0.0018787098,0.054482583
29,12,10,1.23176,0.08585480000000012,0.0,0.004889814,0.1418046
29,13,10,1.2319814,0.08650700000000011,0.0,0.00068873976,0.019973453
29,14,10,1.2350705,0.08479190000000014,0.0,0.0035332423,0.10246403
29,15,10,1.2347621,0.08154290000000008,0.0,0.0032636523,0.09464592
29,16,10,1.2357446,0.08178569999999996,0.0,0.0010120857,0.029350486
29,17,10,1.2343469,0.08295010000000014,0.0,0.0018192191,0.052757353
29,18,10,1.2330558,0.0866975000000001,0.0,0.003963504,0.11494162
29,19,10,1.2323964,0.08123520000000006,0.0,0.005501954,0.15955666
29,20,10,1.2342156,0.08264830000000001,0.0,0.0023035954,0.06680427
29,21,10,1.2362198,0.08244720000000005,0.0,0.0020142114,0.05841213
29,22,10,1.2331156,0.08407080000000011,0.0,0.0035031836,0.101592325
29,23,10,1.2344335,0.0834336,0.0,0.001463918,0.042453624
29,24,10,1.2320708,0.08531259999999996,0.0,0.003018781,0.08754465
29,25,10,1.2357728,0.07910660000000003,0.0,0.007226342,0.20956391
29,26,10,1.2367071,0.08036810000000005,0.0,0.0015697527,0.045522828
29,27,10,1.2368423,0.08138690000000004,0.0,0.0010278106,0.029806508
29,28,10,1.2305405,0.08441009999999993,0.0,0.0069893925,0.20269237
29,29,10,1.2318884,0.0871982,0.0,0.0030967966,0.0898071
29,30,10,1.2340702,0.08680500000000002,0.0,0.0022169081,0.06429034
29,31,10,1.2359655,0.0806213,0.0,0.0064676795,0.1875627
29,32,10,1.2343751,0.08681430000000012,0.0,0.006393985,0.18542556
29,33,10,1.2347046,0.08672100000000005,0.0,0.0003424604,0.009931352
29,34,10,1.2355596,0.08237270000000008,0.0,0.004431534,0.12851448
29,35,10,1.2348676,0.08134529999999995,0.0,0.0012386754,0.03592159
29,36,10,1.2343475,0.08127130000000005,0.0,0.0005253521,0.015235211
29,37,10,1.234289,0.08164030000000011,0.0,0.00037354807,0.010832894
29,38,10,1.2307564,0.07794440000000002,0.0,0.0051126196,0.14826597
29,39,10,1.2350374,0.0833256,0.0,0.0068764044,0.19941573
29,40,10,1.2325772,0.08471859999999998,0.0,0.0028272117,0.08198914
29,41,10,1.2304105,0.08523989999999992,0.0,0.0022285765,0.06462872
29,42,10,1.237068,0.09257559999999998,0.0,0.009906341,
29,43,10,1.2359691,0.0819875000000001,0.0,0.010644932,
29,44,10,1.2347089,0.08301150000000002,0.0,0.0016237607,0.04708906
29,45,10,1.234109,0.08258589999999999,0.0,0.00073549256,0.021329284
